Рыбы;19 февраля — 20 марта;Время пожинать результаты посеянного ранее, так что не забудьте привести в порядок уборочный комбайн. В то же время не забывайте, что работа - не хищный зверь, именуемый волком, посему никуда от вас не денется.
Овен;21 марта — 19 апреля;Этот день хорошо бы посвятить приятным домашним хлопотам: украшению жилища, перестановке мебели... Смотря что подскажет вам фантазия.
Телец;20 апреля — 20 мая;Сосредоточьтесь сегодня на каком-нибудь одном занятии, все, что сверх того - от лукавого. Вы не сможете переделать всех дел сразу, даже если сумеете найти помощников.
Близнецы;21 мая — 20 июня;Сегодня вы вполне можете решить, что у вас приступ дежа вю. Не стоит мучатся, это уже действительно с вами происходило, причем относительно недавно. По аналогии вы сможете примерно предсказать, что будет дальше.
Рак;21 июня — 22 июля;Сегодня вам грозит раздвоение личности - одна половинка будет требовать активной жизни, другая же предпочтет остаться дома. Вам следует их примирить, а то как бы они друг друга ночью не задушили.
Лев;23 июля — 22 августа;Сегодня вам придется много говорить, утешая кого-то или наставляя на путь истинный. Существует опасность, что вы увлечетесь.
Дева;23 августа — 22 сентября;Страсть и благие намерения управляют вашей жизнью сегодня. Ваша способность понимать и принимать возрастает. Вы способны прочитать мысли других прежде, чем они откроют рты.
Весы;23 сентября — 22 октября;Сегодня вы будете выглядеть белой вороной. Оберните свое отличие от других в свою пользу и ни в коем случае не пытайтесь спрятаться.
Скорпион;23 октября — 21 ноября;Сегодня чрезвычайно удачными должны оказаться те дела, которые будут связаны с финансовыми вопросами. Вы даже можете взять на себя решение чужих проблем, правда, со всей возможной осторожностью.
Стрелец;22 ноября — 21 декабря;Делайте все, что хотите, если только это не пойдет во вред окружающей среде и не слишком отразится на семейном бюджете. Возможно, даже кое-кто из соратников с пониманием отнесется к вашим действиям.
Козерог;22 декабря — 20 января;Сегодня вам полезно будет пожаловаться вслух, даже если слушателем окажется зеркало. Вы скорее поймете, как решить свою проблему, формулируя ее в терминах общепринятого языка, нежели переживая на уровне неясных эмоций.
Водолей;21 января — 18 февраля;Сегодня вы можете не без удивления обнаружить, что ваша уверенность в чем-то, еще вчера казавшаяся твердокаменной, постепенно испаряется, уступая место противоположному мнению. Возможно, это и к лучшему.
Рыбы;19 февраля — 20 марта;Время пожинать результаты посеянного ранее, так что не забудьте привести в порядок уборочный комбайн. В то же время не забывайте, что работа - не хищный зверь, именуемый волком, посему никуда от вас не денется.
